File,Date ,Size,Type
 01aJourneyDataExtract10Jan16-23Jan16.csv,"Aug 24th 2016, 03:46:34 pm",34.45 MB,CSV file
 01b Journey Data Extract 24Jan16-06Feb16.csv,"Aug 23rd 2016, 10:16:33 am",35.49 MB,CSV file
 01bJourneyDataExtract24Jan16-06Feb16.csv,"Aug 24th 2016, 03:46:42 pm",35.49 MB,CSV file
 02aJourneyDataExtract07Fe16-20Feb2016.csv,"Mar 11th 2016, 11:38:10 am",33.29 MB,CSV file
 02bJourneyDataExtract21Feb16-05Mar2016.csv,"Mar 11th 2016, 11:37:48 am",34.88 MB,CSV file
 03JourneyDataExtract06Mar2016-31Mar2016.csv,"Aug 24th 2016, 03:46:49 pm",67.72 MB,CSV file
 04JourneyDataExtract01Apr2016-30Apr2016.csv,"Aug 24th 2016, 03:47:01 pm",94.57 MB,CSV file
 05JourneyDataExtract01May2016-17May2016.csv,"Aug 24th 2016, 03:47:19 pm",71.66 MB,CSV file
 06JourneyDataExtract18May2016-24May2016.csv,"Nov 30th 2016, 09:53:19 am",27.90 MB,CSV file
 07JourneyDataExtract25May2016-31May2016.csv,"Nov 29th 2016, 03:24:04 pm",25.92 MB,CSV file
 08JourneyDataExtract01Jun2016-07Jun2016.csv,"Aug 24th 2016, 03:47:44 pm",28.77 MB,CSV file
 09JourneyDataExtract08Jun2016-14Jun2016.csv,"Aug 24th 2016, 03:47:49 pm",27.48 MB,CSV file
 100JourneyDataExtract07Mar2018-13Mar2018.csv,"Apr 12th 2018, 10:44:32 am",17.95 MB,CSV file
 101JourneyDataExtract14Mar2018-20Mar2018.csv,"Apr 12th 2018, 10:44:49 am",17.01 MB,CSV file
 102JourneyDataExtract21Mar2018-27Mar2018.csv,"Apr 12th 2018, 10:45:12 am",20.61 MB,CSV file
 103JourneyDataExtract28Mar2018-03Apr2018.csv,"Apr 12th 2018, 10:45:34 am",11.70 MB,CSV file
 104JourneyDataExtract04Apr2018-10Apr2018.csv,"Apr 12th 2018, 10:45:44 am",19.57 MB,CSV file
 105JourneyDataExtract11Apr2018-17Apr2018.csv,"May 24th 2018, 03:41:28 pm",23.76 MB,CSV file
 106JourneyDataExtract18Apr2018-24Apr2018.csv,"May 24th 2018, 03:41:44 pm",33.60 MB,CSV file
 107JourneyDataExtract25Apr2018-01May2018.csv,"May 24th 2018, 03:42:04 pm",20.98 MB,CSV file
 108JourneyDataExtract02May2018-08May2018.csv,"May 24th 2018, 03:42:19 pm",31.62 MB,CSV file
 109JourneyDataExtract09May2018-15May2018.csv,"May 24th 2018, 03:42:33 pm",29.32 MB,CSV file
 10JourneyDataExtract15Jun2016-21Jun2016.csv,"Aug 24th 2016, 03:47:54 pm",27.10 MB,CSV file
 10a-Journey-Data-Extract-20Sep15-03Oct15.csv,"Oct 22nd 2015, 05:03:08 pm",53.05 MB,CSV file
 10b-Journey-Data-Extract-04Oct15-17Oct15.csv,"Oct 22nd 2015, 05:02:42 pm",49.63 MB,CSV file
 110JourneyDataExtract16May2018-22May2018.csv,"May 24th 2018, 03:42:48 pm",32.10 MB,CSV file
 111JourneyDataExtract23May2018-29May2018.csv,"Aug 8th 2018, 03:47:21 pm",28.11 MB,CSV file
 112JourneyDataExtract30May2018-05June2018.csv,"Aug 8th 2018, 03:47:53 pm",31.38 MB,CSV file
 113JourneyDataExtract06June2018-12June2018.csv,"Aug 8th 2018, 03:48:09 pm",32.99 MB,CSV file
 114JourneyDataExtract13June2018-19June2018.csv,"Aug 8th 2018, 03:48:30 pm",31.08 MB,CSV file
 115JourneyDataExtract20June2018-26June2018.csv,"Aug 8th 2018, 03:48:44 pm",35.34 MB,CSV file
 116JourneyDataExtract27June2018-03July2018.csv,"Aug 8th 2018, 03:49:01 pm",35.47 MB,CSV file
 117JourneyDataExtract04July2018-10July2018.csv,"Aug 8th 2018, 03:49:27 pm",35.03 MB,CSV file
 118JourneyDataExtract11July2018-17July2018.csv,"Aug 8th 2018, 03:49:43 pm",34.34 MB,CSV file
 119JourneyDataExtract18July2018-24July2018.csv,"Aug 8th 2018, 03:50:01 pm",34.92 MB,CSV file
 11JourneyDataExtract22Jun2016-28Jun2016.csv,"Aug 24th 2016, 03:48:00 pm",27.28 MB,CSV file
 11a-Journey-Data-Extract-18Oct15-31Oct15.csv,"Nov 19th 2015, 02:10:49 pm",44.97 MB,CSV file
